user,UFeature0,UFeature1,UFeature2,UFeature3,UFeature4,UFeature5,UFeature6,UFeature7,UFeature8,UFeature9,UFeature10,UFeature11,UFeature12,UFeature13,UFeature14,UFeature15
1.0,0.018766662,0.0144274,0.0665017,0.030247537,-0.011820243,-0.042381275,0.065025784,0.0005914633,0.03828949,-0.0880596,-0.094437115,-0.022498082,-0.12588039,0.06633562,-0.00862104,-0.062180653
2.0,-0.08081418,-0.061331593,-0.087389335,0.013553963,0.0996926,0.039953023,-0.12201969,0.11801456,0.06491981,-0.048352513,-0.019356513,-0.03225157,0.07939342,0.009023107,-0.016476044,-0.030678814
3.0,-0.1546384,0.079462714,0.010439935,-0.07870685,-0.12248364,-0.17297195,0.019475412,0.033864815,-0.08402163,-0.10373416,-0.07893872,-0.100467056,0.016857833,0.024957588,0.09549559,-0.014419949
4.0,-0.07222538,0.011590827,-0.13790831,0.10465466,0.10672437,-0.05329779,-0.0049321833,0.06629611,-0.06833879,0.18301013,0.090898566,0.083664246,-0.025967166,0.0663757,0.031875536,0.17498654
5.0,-0.08309215,-0.0032496979,-0.13623524,-0.11988085,-0.15508753,-0.061729956,-0.11937269,0.07400658,0.020698844,0.0069320593,-0.0026540654,-0.09718056,0.006519743,0.0007686991,-0.05046788,-0.073088385
6.0,0.08918337,-0.019072402,-0.035189137,0.056837816,-0.10038243,-0.00109468,-0.16651791,0.03157791,0.104313135,0.107875004,-0.07365888,0.013563299,-0.059944704,0.13615148,-0.1583703,0.08479963
7.0,0.029464165,0.035680268,0.072603725,0.10823335,-0.07975325,-0.0014370244,-0.046419762,-0.024990177,0.0686698,0.017819077,-0.04434755,0.09226479,0.0076739844,0.011869083,0.00040370613,0.19026484
8.0,-0.10657965,-0.026450768,-0.015054337,0.04178644,-0.0678239,-0.06242972,0.059277434,0.100770324,-0.04921501,-0.004319446,0.0043443493,0.05895768,0.028565321,-0.19320159,0.12924981,-0.057459205
9.0,-0.0951046,-0.07564054,0.015376264,0.023010567,0.07383605,0.058157377,0.035522442,-0.015686173,0.12280342,0.0651971,-0.0023616,0.0745136,-0.09458379,-0.0047638672,0.091239296,-0.003271636
10.0,-0.09493721,0.11168497,-0.17194355,-0.15658367,-0.07956645,0.03488185,-0.03107631,-0.106645636,0.043625742,-0.009165898,-0.046582628,-0.06995572,0.0049094292,0.021623744,-0.016601088,0.061429992
11.0,-0.056212902,-0.046537697,0.05628167,-0.115433484,0.11638187,0.15348957,0.0005314179,-0.14366701,0.14044398,0.08054712,-0.16147518,0.0194817,0.11051949,0.03157067,0.16463032,-0.024052676
12.0,-0.03482341,-0.060761463,0.0043955096,-0.05012015,0.06206738,0.07911953,0.074762434,-0.15378088,0.0072322837,-0.11434432,-0.031109737,-0.007990078,-0.10034029,0.0039821183,-0.041461457,-0.062934555
13.0,-0.002885642,0.09655819,-0.06784592,0.02794779,0.010146979,-0.112808,0.044751167,-0.10678714,0.03704503,-0.029616177,0.08693511,-0.09379723,-0.09137453,0.2089154,0.047007587,0.00030290586
14.0,0.060889702,0.020470321,-0.093307346,-0.06059414,0.06646195,0.12724921,0.010646782,0.0011341951,0.018469207,0.067959234,-0.09898787,0.1410205,-0.07372313,0.121820815,-0.101604834,-0.055681903
15.0,-0.14077982,-0.07245384,0.1099969,-0.02001279,-0.0011968529,0.00429081,-0.003116494,-0.004911604,0.017606696,0.06089844,-0.07550775,0.042244427,-0.012247278,0.08946088,0.14120266,0.075521015
16.0,0.035360746,-0.019893225,0.021356039,-0.021002261,0.0655588,0.0463386,0.1627209,0.10362221,-0.18996795,0.13652644,-0.11650166,0.05585391,-0.0048011485,-0.045784704,0.006747057,-0.02376034
17.0,-0.080611266,0.14284398,0.07424912,0.056181636,0.14943366,-0.063628756,-0.0722061,-0.01084441,-0.0862966,-0.09670716,0.009569015,0.13749427,0.050265554,0.0794008,0.0592856,0.011394674
18.0,-0.12346528,0.006936329,0.041095,0.12714818,-0.00035038672,-0.03783146,0.120095834,0.12513188,0.01698818,0.04267049,-0.054519586,-0.06411741,0.04201103,-0.073509194,0.034804042,0.1651985
19.0,-0.14705656,-0.13117413,0.08605875,-0.04877709,0.04466945,-0.024632536,0.08313517,0.072599545,-0.0026387705,-0.16076994,0.060389988,-0.014559511,-0.054175988,-0.017519489,0.016452475,-0.07809684
20.0,0.053293552,-0.037775815,0.04340546,0.052508365,0.062830456,-0.022416947,0.045525193,-0.0098866,0.026983451,-0.050656773,0.029201902,0.09193775,0.0074119973,-0.109044686,-0.053795002,0.11316337
21.0,-0.039021913,-0.06966939,-0.01948474,-0.14187284,-0.03549447,-0.016961697,-0.16525738,-0.137819,-0.003139082,-0.020973263,-0.08684823,-0.14311899,-0.046842013,-0.011985501,0.053758673,-0.07041171
22.0,-0.1941376,0.09811767,0.06622746,-0.029212747,0.109198995,0.10783727,-0.011386451,-0.12619156,-0.05394033,0.12808503,0.09728864,0.060745854,0.01125644,-0.03468312,0.09025559,-0.01931229
23.0,0.016095068,-0.056085452,0.119857095,0.07344428,0.0035389622,0.021877533,-0.05806677,-0.053668845,0.03428117,0.019214116,-0.07370515,-0.07675189,0.022643056,-0.054713305,0.06004615,-0.0006590711
24.0,0.070934065,0.18999702,0.04292204,-0.06650668,0.012850701,-0.12597749,0.01282071,-0.052339498,0.1391192,0.07938253,0.10561786,0.028391916,-0.14140695,-0.17364673,-0.071563184,0.03930796
25.0,-0.0947448,0.105413996,0.039765295,0.17661603,-0.11681941,-0.072001,0.11919691,-0.17592363,0.10950717,0.09792936,-0.03904411,-0.10111904,0.0063717407,-0.08990367,0.08566754,0.096125625
26.0,-0.037156686,0.03280126,-0.047790628,0.084321596,-0.012652987,-0.12511446,0.06087904,0.15519086,0.10089009,-0.12088412,-0.14162488,-0.040738344,-0.06115727,0.06337717,0.11942039,-0.12000531
27.0,0.02576446,-0.034901835,0.04739981,-0.09581441,-0.02228332,0.061431777,-0.0082937,0.12978275,0.008360958,0.053276233,0.03447558,0.065466955,0.058934927,-0.066389024,0.071179226,0.08493645
28.0,0.031667754,-0.078341454,0.012095825,-0.014104712,-0.042161196,0.04603039,-0.12918107,-0.022356845,-0.06638541,-0.05174243,-0.103896,0.022847598,-0.09102884,-0.037904233,0.17893367,-0.10758909
29.0,0.20355529,-0.015395303,-0.03207233,0.06333736,0.033102896,-0.12912376,-0.011123996,0.04746731,-0.04603388,0.072607845,0.054423664,-0.03769288,0.008463611,0.1180337,-0.005661244,-0.036556337
30.0,0.18158458,-0.05956695,-0.07253451,0.09270435,-0.0063007777,0.03580054,-0.03131545,0.010356264,0.083493315,-0.039862588,0.02987649,-0.0830487,-0.03310928,0.033833057,0.055880018,0.15809643
31.0,-0.038815938,-0.12048548,0.038708016,0.091034465,-0.03712188,-0.04700805,0.036199983,0.10110633,-0.027028415,-0.02830865,-0.098009795,-0.11286336,-0.06550522,-0.072843514,0.06804584,0.088198565
32.0,-0.08225202,0.079452604,-0.054132808,-0.03377063,-0.07116291,0.022505537,0.036396295,0.051653653,-0.062366776,-0.0827446,0.16619296,-0.050987557,-0.033596717,-0.050901,0.01993569,0.057168953
33.0,-0.16061157,-0.044985216,0.040775422,-0.096976094,-0.09894841,0.10887768,-0.0016682282,-0.177189,0.05297126,0.04554133,-0.053755235,-0.05299077,-0.09075989,-0.14529526,0.04686828,0.14394957
34.0,-0.06748689,-0.032852076,0.07015815,-0.017291503,-0.048178293,-0.094905235,0.09423464,0.0011531557,-0.083408415,-0.057024,0.053927533,0.11644308,0.1633285,-0.03256236,0.012899898,0.15054134
35.0,-0.06211113,0.017685674,0.09771108,-0.035238482,0.020272668,0.02963152,0.0394579,0.0072509395,-0.043139778,0.028613446,-0.0010553241,0.06439934,-0.028801858,0.110444546,-0.12442678,-0.111260764
36.0,0.03171455,-0.0016040292,-0.06352384,-0.009510647,0.049154725,-0.014454109,-0.1251198,-0.028239492,-0.056795217,-0.059363898,0.14289701,-0.06673221,-0.014057492,0.14874773,-0.08316203,-0.15582004
37.0,0.11388137,-0.053147882,-0.15564045,-0.030923082,0.08775111,0.009351987,-0.088134356,-0.16883445,0.071664296,-0.08747738,0.15055075,0.014533268,0.08218538,0.16239673,-0.109158784,-0.09494917
38.0,-0.0631229,0.026159585,-0.022060595,-0.10014235,0.039321154,0.03156622,0.16698904,0.07240642,-0.14945418,0.11372947,-0.07262988,-0.07907978,0.10837702,-0.029647568,-0.14071089,0.041863166
39.0,0.016444897,0.09405466,-0.074972235,0.09521875,-0.11667509,-0.016849305,-0.10982013,-0.0283505,-0.019105393,0.052123755,0.033624478,-0.010731506,0.04708315,-0.16631693,0.12170936,-0.010111276
40.0,0.00923058,-0.042714123,0.02095279,0.080596134,-0.0982891,0.1210882,-0.055565465,-0.10759997,0.083710544,0.01852345,-0.10673686,0.057922427,-0.14959732,-0.0052206637,0.05443291,0.0040648403
41.0,0.09489854,-0.06906626,-0.047633804,-0.15920362,-0.07058968,0.06710817,-0.07733201,-0.027161065,-0.057125073,-0.08564192,-0.0059486753,-0.1015591,-0.12407826,0.022713544,0.0056224377,0.13673463
42.0,-0.040110916,-0.058153488,-0.075697996,-0.049180992,-0.022029063,-0.07584718,-0.09075435,0.017364109,0.032494333,-0.09953493,-0.06265484,0.016947983,0.04767918,0.09030296,-0.019569647,-0.10183009
43.0,0.04074945,-0.0846319,0.18141742,0.025360914,0.19308805,0.009911639,-0.044535052,0.0054312362,0.032185543,0.014228276,0.07942035,-0.12026224,-0.0007018493,-0.0778906,-0.12967788,-0.12002621
44.0,0.15890338,-0.016695177,-0.042978007,0.009990621,0.11516628,-0.0066681304,-0.012240263,0.009520984,-0.06326092,-0.029293124,-0.1523187,0.06851211,-0.08569825,0.016678276,-0.05395013,0.019712506
45.0,-0.016550312,0.042117726,0.044663556,0.14714327,-0.10819493,-0.014641282,-0.15508877,-0.058633707,-0.03354184,-0.08534062,-0.0032046936,0.09896842,-0.14196697,-0.070604116,-0.09474583,-0.05714225
46.0,-0.15797468,0.14335053,0.111421645,-0.0038110022,0.1502254,0.05600205,0.031113613,0.09936195,-0.07500368,-0.085633636,-0.12195707,-0.032279775,-0.061429564,-0.07570794,0.092829585,0.15199633
47.0,0.062291138,0.103125125,-0.11549766,0.08172347,-0.13276707,-0.06059638,0.12780035,-0.02373018,0.10072078,-0.023168806,-0.088004924,-0.111356996,-0.053933237,-0.13491441,-0.042726677,-0.0031211667
48.0,0.017237835,-0.03574104,0.096876375,0.02142337,-0.058328774,-0.105232,-0.05261968,-0.08243306,0.026417902,-0.048207276,0.060219202,-0.14902416,-0.03688056,-0.081679046,-0.07728495,-0.066462226
49.0,0.0005899835,0.16716152,0.050756346,0.091915675,0.042950455,0.04989384,-0.040082194,0.083037175,-0.11744652,-0.114062004,-0.053205196,-0.08074498,-0.06333583,-0.11811131,-0.028319446,0.00813949
50.0,0.0027446854,0.00013456102,-0.05890303,0.033954885,0.028804474,-0.1335495,0.08604403,-0.0203701,-0.003918843,-0.09433357,0.0027356963,-0.12670071,-0.03790332,-0.04490967,0.03409065,0.042499352
51.0,-0.017432682,-0.13174056,0.054814994,-0.024995198,0.043550365,-0.080470145,-0.029730864,0.053141635,0.012639499,0.04834329,-0.054241132,0.011110655,0.0048018796,0.055931445,-0.091655836,0.06219954
52.0,-0.012732179,0.096231654,-0.1708537,0.05914626,0.033226926,0.097646795,-0.022881534,0.017111722,0.13490193,0.025542624,-0.011443428,-0.031963684,0.011430819,-0.018853478,0.044425443,-0.055045757
53.0,-0.026352946,0.15202567,-0.054375045,0.15123922,0.011187764,-0.040035285,-0.021940265,0.020040125,-0.09374692,-0.035140745,-0.102639675,-0.044350404,-0.0638193,-0.0453346,-0.039656118,0.062206414
54.0,0.12929623,0.108333714,-0.09613513,0.012496657,-0.07112521,0.069249235,0.09627697,0.07254477,0.037279166,0.07448082,-0.13203639,-0.05140933,0.17159952,0.028337637,0.090161346,0.08379596
55.0,-0.0028269128,0.07342859,0.13151173,0.05826322,0.011770938,-0.07988182,0.010881352,-0.054854788,-0.09619147,0.034664266,0.07999586,-0.10596092,0.1479205,0.014301441,-0.11522045,-0.0060829367
56.0,0.14004688,0.030127222,0.07559661,-0.13565554,-0.04604432,-0.0011102639,0.07353364,0.017708879,-0.017756049,0.19114065,0.11987281,0.011089903,-0.015740212,0.05505548,-0.03782646,-0.025393346
57.0,-0.112136684,-0.019215204,0.09549185,0.0910933,-0.14779162,-0.14718038,-0.09907881,0.041543882,0.121808134,0.004980473,0.016136773,-0.011485485,-0.07470316,-0.10547934,-0.015117906,0.029258292
58.0,0.03164036,-0.00899863,0.1744297,-0.041196555,-0.06325461,-0.09879234,-0.05785186,-0.08487759,-0.07628045,0.026545426,-0.068008125,0.018033935,0.062970705,0.023834215,-0.06383984,-0.04835498
59.0,0.08839441,-0.032142095,0.11131496,0.0071857856,-0.023185784,-0.09914926,-0.16926071,-0.08273553,0.11546944,-0.10441585,-0.020808943,0.06844282,-0.054419715,-0.058228865,-0.16999377,-0.17772056
60.0,-0.15373401,0.18517964,-0.055201553,-0.13851833,-0.08412847,0.06809895,0.05672126,0.058726694,0.054434676,0.012994393,-0.08310335,-0.10957549,0.033999536,0.05768885,0.058515836,-0.026930965
61.0,-0.05183893,-0.071793444,0.022107545,-0.00601209,-0.009165627,0.009087756,-0.025442705,-0.122029155,-0.012937005,0.019475918,-0.0037878966,-0.04843692,-0.07759928,0.010998961,0.09888926,-0.03479985
62.0,-0.07636442,-0.07602838,0.047847576,0.13625865,0.026660938,0.05172451,-0.13601317,-0.05912635,0.09367426,0.0047866465,0.054327484,-0.06448225,0.05870191,-0.0012361448,0.026867397,-0.11302131
63.0,0.1616048,0.027684527,-0.13858953,-0.029742215,0.002498283,0.056247294,-0.051883996,-0.0010064747,-0.036325295,-0.0273821,-0.07522269,0.08117352,0.114782795,0.020553045,-0.025882225,-0.054891936
64.0,0.026852911,0.054577116,-0.015958909,0.06218528,0.14833799,-0.0010532406,0.068331905,0.18303297,0.07146225,-0.058254536,-0.037883542,-0.07643016,0.0124472,0.05237154,0.025427809,-0.05543104
65.0,0.0033898752,-0.07938723,0.09727159,0.02517742,0.0075175134,-0.13340731,0.09163384,0.019574346,-0.06359033,0.005086859,-0.11932303,0.08476029,0.10085002,-0.012392789,-0.08345206,0.06027307
66.0,-0.016708432,0.06603525,0.024500439,0.12260747,-0.030493412,0.13738565,0.11627011,-0.0075982534,0.022101073,-0.13822933,-0.04937605,-0.060637683,-0.035449766,-0.12676463,-0.043390736,-0.068474166
67.0,0.014255614,-0.003119836,-0.07119339,-0.05538771,-0.012555722,-0.013492509,-0.027423726,-0.07139463,0.02999883,0.14769314,0.11159932,0.03392269,0.0587834,-0.02970185,0.023795705,-0.040234804
68.0,0.14079848,0.10951545,-0.068331935,-0.062340267,-0.07043757,0.08138222,0.050012488,0.03884469,-0.012934453,0.1750841,0.13232183,0.09766324,-0.030181145,-0.038666993,0.021160733,-0.053245015
69.0,0.13934995,0.040447753,0.008463378,-0.011291562,0.09663067,0.027576424,0.1171759,-0.087631695,-0.013779493,0.012294363,-0.062013794,-0.024366062,0.07147639,0.06858147,0.10420023,0.038137704
70.0,-0.13515319,0.16073607,-0.010686657,0.07339359,0.01255076,-0.09168078,0.08862036,0.11836369,0.020768346,-0.12892696,-0.09148129,-0.007204442,0.0022271257,0.067192025,-0.080435865,-0.03794174
71.0,0.012301272,0.014131633,-0.15423216,-0.10102425,-0.0070188344,0.013599869,-0.053873613,-0.05615412,0.054640267,-0.01620835,-0.11113964,-0.061019037,-0.08747466,-0.04349563,0.017122481,0.033908334
72.0,0.0536421,0.029615467,-0.08335856,0.09760403,-0.13614422,-0.044208508,-0.048133317,0.027249051,0.11927912,0.11133447,0.12456918,-0.15530002,-0.010987731,0.04273249,-0.07728677,-0.0643927
73.0,0.030410416,0.11820421,-0.097845174,0.0386889,0.07311762,-0.013278997,-0.0747372,-0.058167305,0.08749438,0.05955774,0.1106487,0.00069246395,0.08166944,-0.012970951,-0.08584739,-0.0872306
74.0,-0.027456352,-0.022140903,-0.086921856,0.082768746,-0.0076264255,0.110298835,0.02571796,0.07687751,-0.036254253,-0.061558828,-0.12774321,-0.06625634,-0.11516794,0.0751902,-0.07652669,-0.07648561
75.0,-0.034719903,0.061534896,-0.06946152,0.15671341,0.06566539,0.038814276,-0.05632547,-0.051720288,-0.010973068,0.10957698,0.0018448012,0.07847034,-0.101226464,-0.049813554,0.057149466,-0.03259047
76.0,-0.13110597,-0.065512195,-0.00196355,-0.12035341,0.063062616,0.03894845,-0.12158393,0.06245733,0.028045217,0.046178907,0.014247556,-0.16994365,0.09473869,0.14866374,0.08553718,0.01753912
77.0,-0.030826893,0.09560089,0.004130087,0.10244389,0.0064991764,-0.032342374,0.15220618,-0.10880618,0.05169252,-0.087982215,0.02328257,0.007261452,-0.103469566,-0.11582034,-0.07775587,0.007409057
78.0,0.026871605,0.04762382,0.12947215,0.012959653,-0.17614295,-0.17758156,-0.13096273,-0.026830414,0.05623207,-0.031844534,0.00865956,0.058720775,0.018937591,0.03826263,-0.049292125,-0.026586544
79.0,-0.059586167,0.0057924394,0.17911892,-0.01183842,0.114312686,-0.025116509,-0.107740685,-0.05306001,0.12759337,-0.15619269,0.010017333,-0.07509631,0.06763675,0.020531973,0.06996222,8.414857e-05
80.0,0.019184472,0.0056088646,0.123346,-0.008847684,-0.02362194,-0.022439029,-0.103715464,0.0042537185,0.09940645,0.12905703,0.02121713,-0.12542093,0.077558696,0.067981064,-0.005922658,-0.014413911
81.0,0.09866791,-0.054202,0.14431785,0.12469741,0.0066436864,-0.06021358,-0.020322584,-0.12358618,-0.06348236,-0.089814946,-0.0037069272,-0.08129983,0.04085508,-0.1327986,0.1816548,0.010083989
82.0,0.07308506,0.0024755525,0.02062664,0.12497518,-0.018793056,0.1795053,-0.062435858,-0.05485501,0.021413242,0.025984539,-0.07819172,0.040536743,0.02875968,-0.07378395,-0.037019562,-0.04033054
83.0,-0.12501259,-0.1210554,0.04178259,-0.07144772,0.006713419,-0.02206445,0.13219255,-0.037769414,0.05246441,0.021469343,0.04840266,0.014455264,0.036385655,-0.03179672,0.084542386,-0.04369357
84.0,-0.13788745,0.008596018,-0.18273818,-0.035681292,-0.01186278,-0.056159552,0.149443,0.053130917,0.062227644,0.0915804,0.15006272,0.06639291,0.1251006,-0.035025995,0.011039484,0.018426405
85.0,0.057906736,-0.102691665,-0.0038183483,-0.0026119743,-0.03891038,0.012009785,-0.05495542,-0.025182445,-0.15682544,-0.05160902,-0.11918756,0.07628951,-0.013552414,0.08082083,-0.01661454,-0.13331804
86.0,0.15103738,0.06434011,0.10528309,-0.0042743785,-0.019422596,-0.07689181,0.07870756,0.17006195,-0.14145663,-0.10403484,-0.03077903,-0.018036878,-0.023676028,-0.15166105,0.07927324,-0.0790694
87.0,0.043917283,-0.074418895,-0.011245205,-0.12626734,0.0011520421,-0.08088876,-0.067239225,-0.038495723,-0.077414334,-0.018915234,-0.05741517,0.062693566,0.055468604,-0.06652412,0.013495315,0.03329264
88.0,0.06939549,0.045355726,0.069038525,0.021543188,-0.054261796,0.07347856,-0.117405176,0.05104613,-0.02440836,-0.070622385,0.017819047,0.02647076,0.10976059,0.07330742,-0.114056885,-0.10521803
89.0,-0.058948647,0.07081222,-0.082204096,0.089808404,0.105657496,0.09613363,0.05586303,-0.054660805,0.14634798,0.035967335,0.014380727,-0.022598276,0.013705811,-0.05625807,0.014713704,-0.028083367
90.0,-0.046729263,-0.022676228,0.042470694,-0.13645196,-0.11959052,0.12729053,0.10047032,0.12639949,-0.020081468,-0.11444435,-0.06132593,0.12841988,0.07145761,0.15112907,0.0597884,-0.020488925
91.0,0.10192787,0.15507385,0.02936955,-0.12687126,0.019819876,-0.1277204,-0.04112995,-0.120245196,-0.009832126,-0.06058262,-0.015827984,0.030754618,-0.037291765,0.011189477,-0.15103307,0.0784631
92.0,0.03185216,0.06862921,-0.07884451,-0.13502145,-0.052407376,-0.079476215,-0.04119993,-0.029910687,0.065388806,0.1192011,0.06967389,-0.021066364,-0.13275145,0.09518204,0.004053639,-0.033262867
93.0,0.034427226,-0.05585019,0.09334119,0.12560906,0.033618174,-0.028011283,-0.12102688,-0.08498866,-0.08451792,-0.0057986146,0.029019337,0.047194563,0.006489011,-0.02769548,-0.030450288,-0.1291107
94.0,0.15968342,-0.024110414,-0.09298043,0.046168216,0.13612087,-0.14650641,-0.06667034,0.06555705,0.0018104794,0.056367043,-0.07424994,-0.043609034,0.11650684,0.15646112,-0.008108686,-0.01816933
95.0,0.037005566,-0.13353871,-0.0282037,0.027408807,0.0069308644,-0.051942743,-0.08865927,-0.047427077,0.15016162,0.06780806,0.0007354303,0.086508736,-0.033666275,0.06588336,0.016007904,-0.049227547
96.0,-0.030227961,-0.056661118,0.03783354,0.08420947,-0.1107186,0.025040168,0.0369571,-0.065605454,-0.054984406,-0.009018988,0.021461815,-0.011667727,0.029669516,-0.06774693,-0.10352076,0.11750098
97.0,-0.08839563,-0.004888558,-0.13845073,-0.080433674,-0.10648432,-0.071321614,0.15151505,0.04228565,0.028545013,-0.04721308,-0.07312684,-0.0149985105,-0.026392557,-0.02942061,0.085636415,-0.018361678
98.0,0.058983043,-0.15707871,-0.107262425,0.12970996,0.07927091,-0.02874209,-0.120086014,-0.017044986,0.06785584,-0.061473805,-0.0029571545,-0.10024867,0.074835375,-0.009763673,0.06443835,0.00027312603
99.0,-0.0041395407,0.049065005,-0.0192721,-0.03659394,-0.09313342,0.0578014,-0.008697655,-0.102355726,-0.066051975,-0.015175448,0.14241982,0.055454817,0.04601267,0.015508993,0.02023017,0.11648489
